species,zoonotic_capacity_score,above_50,top_10_percent,bootstraps_above_50,mean_zoonotic_capacity_score,sd_zoonotic_capacity_score
Crocidura nimbae,0.403887182,0,0,12,0.450590324,0.093295685
Crocidura niobe,0.28119674,0,0,2,0.36717386,0.091336916
Crocidura obscurior,0.440621307,0,0,22,0.50585491,0.084762355
Crocidura olivieri,0.403402731,0,0,21,0.488969233,0.105526636
Crocidura orientalis,0.053104513,0,0,0,0.106712073,0.050090514
Crocidura orii,0.587488457,1,0,23,0.495375722,0.119828756
Crocidura palawanensis,0.747411249,1,0,49,0.676597453,0.084812917
Crocidura paradoxura,0.445645334,0,0,26,0.495350026,0.086983478
Crocidura parvipes,0.132865146,0,0,1,0.259251971,0.084055712
Crocidura pasha,0.336533638,0,0,4,0.369038569,0.082609251
Crocidura pergrisea,0.225799151,0,0,1,0.301059483,0.091221049
Crocidura phaeura,0.3010168,0,0,1,0.351876589,0.093556641
Crocidura picea,0.285447657,0,0,2,0.371661077,0.086707418
Crocidura pitmani,0.158580148,0,0,0,0.258372667,0.080861368
Crocidura planiceps,0.323849687,0,0,10,0.430344006,0.079264713
Crocidura poensis,0.43879465,0,0,22,0.500435283,0.094457758
Crocidura polia,0.531783884,1,0,34,0.557045875,0.096077086
Crocidura pullata,0.272821229,0,0,4,0.374444271,0.096906692
Crocidura raineyi,0.195671249,0,0,0,0.265724674,0.085937045
Crocidura ramona,0.052990753,0,0,0,0.10818028,0.050878065
Crocidura rapax,0.042972359,0,0,0,0.107762674,0.043728636
Crocidura religiosa,0.260890165,0,0,1,0.31251565,0.082361954
Crocidura rhoditis,0.613985739,1,0,40,0.582513866,0.093405853
Crocidura roosevelti,0.218279121,0,0,2,0.325993743,0.087821922
Crocidura russula,0.143307551,0,0,0,0.226279618,0.073160806
Crocidura selina,0.342622836,0,0,14,0.422700425,0.099898562
Crocidura serezkyensis,0.127361228,0,0,0,0.220318722,0.077674343
Crocidura shantungensis,0.040563746,0,0,0,0.105328732,0.041757293
Crocidura sibirica,0.099943266,0,0,0,0.210741411,0.069204682
Crocidura sicula,0.212509933,0,0,0,0.269790099,0.083814879
Crocidura silacea,0.080172167,0,0,0,0.154106651,0.056490983
Crocidura smithii,0.292213875,0,0,11,0.427790414,0.098591573
Crocidura somalica,0.200561998,0,0,3,0.347767163,0.089726144
Crocidura stenocephala,0.256959172,0,0,2,0.336139978,0.091059796
Crocidura suaveolens,0.068659651,0,0,0,0.13875528,0.04877233
Crocidura susiana,0.291101563,0,0,5,0.360058951,0.094013304
Crocidura tanakae,0.494150009,0,0,18,0.473850565,0.096424251
Crocidura tansaniana,0.366767368,0,0,16,0.4401556,0.089020857
Crocidura tarella,0.316987692,0,0,9,0.403534064,0.091798241
Crocidura tarfayensis,0.215331327,0,0,0,0.301407226,0.0746554
Crocidura telfordi,0.455830443,0,0,23,0.490889449,0.088116597
Crocidura tenuis,0.652726458,1,0,46,0.617547858,0.089641
Crocidura thalia,0.163050148,0,0,1,0.301039453,0.091915593
Crocidura theresae,0.443497252,0,0,20,0.494798057,0.090010588
Crocidura thomensis,0.455756225,0,0,23,0.497854701,0.088496423
Crocidura trichura,0.599793654,1,0,39,0.552723292,0.077755225
Crocidura turba,0.136433673,0,0,1,0.26185863,0.079946392
Crocidura ultima,0.265211347,0,0,1,0.339199236,0.087638075
Crocidura usambarae,0.360516141,0,0,14,0.434465861,0.092320007
Crocidura viaria,0.266177974,0,0,3,0.354989351,0.087098149
Crocidura virgata,0.559611024,1,0,36,0.565208629,0.090936427
Crocidura voi,0.297009044,0,0,5,0.383101775,0.095137576
Crocidura vorax,0.38782533,0,0,14,0.447439697,0.10462066
Crocidura vosmaeri,0.052285742,0,0,0,0.106779939,0.050717305
Crocidura watasei,0.509963612,1,0,16,0.465299113,0.103457208
Crocidura whitakeri,0.166300911,0,0,0,0.267462069,0.079598873
Crocidura wimmeri,0.697381195,1,0,47,0.624282033,0.081190385
Crocidura wuchihensis,0.04345145,0,0,0,0.09904044,0.044080784
Crocidura xantippe,0.25598789,0,0,2,0.358369667,0.085403745
Crocidura yankariensis,0.332012431,0,0,8,0.420256183,0.094815749
Crocidura zaphiri,0.208785379,0,0,0,0.309295185,0.084228253
Crocidura zarudnyi,0.3155593,0,0,1,0.37524216,0.086064798
Crocidura zimmeri,0.437771337,0,0,14,0.442116429,0.090662712
Crocidura zimmermanni,0.197191694,0,0,0,0.250765925,0.067185804
Crocuta crocuta,0.891537481,1,1,50,0.803452221,0.082496231
Crossarchus alexandri,0.717521583,1,0,49,0.660665561,0.087713717
Crossarchus ansorgei,0.81566478,1,0,49,0.744802513,0.08489636
Crossarchus obscurus,0.761358742,1,0,50,0.730850445,0.082963533
Crossarchus platycephalus,0.202904537,0,0,0,0.229994758,0.063618965
Crossomys moncktoni,0.536233201,1,0,37,0.549432233,0.087173899
Crunomys celebensis,0.665376314,1,0,48,0.622087534,0.07540621
Crunomys fallax,0.712919067,1,0,49,0.674714227,0.080221555
Crunomys melanius,0.812514378,1,0,50,0.753283557,0.072398063
Crunomys suncoides,0.11238269,0,0,0,0.168142471,0.059735633
Cryptochloris wintoni,0.104748305,0,0,0,0.153436285,0.053872249
Cryptochloris zyli,0.132434646,0,0,0,0.167717868,0.071066117
Cryptomys amatus,0.085764819,0,0,0,0.143661006,0.052969766
Cryptomys anselli,0.135406091,0,0,0,0.177453459,0.059737114
Cryptomys bocagei,0.213635532,0,0,0,0.274053848,0.07026146
Cryptomys damarensis,0.256146732,0,0,0,0.277072637,0.083974986
Cryptomys darlingi,0.136185752,0,0,0,0.191908541,0.05723538
Cryptomys foxi,0.743877373,1,0,49,0.667840298,0.076857725
Cryptomys hottentotus,0.19241295,0,0,0,0.238522965,0.074726499
Cryptomys kafuensis,0.135541271,0,0,0,0.171596009,0.057623804
Cryptomys mechowi,0.279279623,0,0,2,0.34176425,0.096934241
Cryptomys ochraceocinereus,0.603936861,1,0,40,0.573908406,0.085067268
Cryptomys zechi,0.779752204,1,0,50,0.706077124,0.073957188
Cryptoprocta ferox,0.747081961,1,0,50,0.717428984,0.074927656
Cryptotis alticola,0.189741463,0,0,1,0.29350778,0.086209572
Cryptotis brachyonyx,0.050691374,0,0,0,0.104880489,0.048758672
Cryptotis colombiana,0.055483135,0,0,0,0.110808045,0.050398792
Cryptotis endersi,0.473073337,0,0,29,0.514372291,0.081698339
Cryptotis equatoris,0.055652546,0,0,0,0.107604999,0.049887472
Cryptotis goldmani,0.038659041,0,0,0,0.104548731,0.046218615
Cryptotis goodwini,0.372167026,0,0,15,0.460023436,0.090456499
Cryptotis gracilis,0.56740027,1,0,44,0.584773726,0.086111478
Cryptotis griseoventris,0.046885684,0,0,0,0.107022814,0.049722056
Cryptotis hondurensis,0.357116457,0,0,16,0.443037696,0.094006521
Cryptotis magna,0.241374512,0,0,1,0.343948933,0.080189833
Cryptotis mayensis,0.03245684,0,0,0,0.097663941,0.047108746
Cryptotis medellinia,0.057180945,0,0,0,0.107048151,0.050411674
Cryptotis mera,0.045248947,0,0,0,0.106647303,0.047741204
Cryptotis meridensis,0.340664032,0,0,7,0.403620453,0.093463858
Cryptotis merriami,0.031774395,0,0,0,0.096569522,0.047346564
Cryptotis mexicana,0.232959682,0,0,2,0.357579392,0.085674244
Cryptotis montivaga,0.15159316,0,0,0,0.238355872,0.082199617
Cryptotis nelsoni,0.044683029,0,0,0,0.10568005,0.046280919
Cryptotis nigrescens,0.046729624,0,0,0,0.109791174,0.051078674
Cryptotis obscura,0.043993306,0,0,0,0.10341114,0.045795917
Cryptotis orophila,0.047537388,0,0,0,0.114076278,0.043670538
Cryptotis parva,0.391650481,0,0,12,0.440595862,0.103430446
Cryptotis peregrina,0.077420004,0,0,0,0.130988107,0.052200456
Cryptotis peruviensis,0.049078269,0,0,0,0.098923801,0.046697423
Cryptotis phillipsii,0.042891395,0,0,0,0.096506003,0.044192062
Cryptotis squamipes,0.360911801,0,0,9,0.411270288,0.088507516
Cryptotis tamensis,0.049685986,0,0,0,0.103087787,0.048049069
Cryptotis thomasi,0.321852768,0,0,4,0.366960563,0.089523147
Cryptotis tropicalis,0.048111756,0,0,0,0.114909442,0.043777081
Ctenodactylus gundi,0.255291685,0,0,0,0.32794684,0.086661708
Ctenodactylus vali,0.278980978,0,0,0,0.353056499,0.088959723
Ctenomys argentinus,0.392777651,0,0,3,0.381610551,0.087746004
Ctenomys australis,0.333264946,0,0,0,0.330614428,0.089827648
Ctenomys azarae,0.289537117,0,0,0,0.263980534,0.079925802
Ctenomys bergi,0.161762571,0,0,0,0.187689056,0.058699693
Ctenomys boliviensis,0.733179239,1,0,49,0.631879896,0.073761484
Ctenomys bonettoi,0.393741625,0,0,3,0.374408936,0.088561719
Ctenomys brasiliensis,0.174870863,0,0,0,0.19477136,0.062570058
Ctenomys budini,0.130553241,0,0,0,0.174140098,0.056964382
Ctenomys colburni,0.195446547,0,0,0,0.236820625,0.083443285
Ctenomys coludo,0.187764971,0,0,0,0.211198727,0.062092512
Ctenomys conoveri,0.508363626,1,0,9,0.437386908,0.06867776
Ctenomys coyhaiquensis,0.158661087,0,0,0,0.182634917,0.063158061
Ctenomys dorbignyi,0.1477355,0,0,0,0.199985689,0.064464064
Ctenomys dorsalis,0.545604923,1,0,16,0.457967432,0.085712242
Ctenomys emilianus,0.278079544,0,0,0,0.263695795,0.086382522
Ctenomys famosus,0.180775137,0,0,0,0.211245604,0.06167625
Ctenomys flamarioni,0.185410014,0,0,0,0.216199546,0.065724753
Ctenomys fochi,0.172375911,0,0,0,0.206833079,0.059666627
Ctenomys fodax,0.106618602,0,0,0,0.173007542,0.062117207
Ctenomys frater,0.467105124,0,0,17,0.443431802,0.100719328
Ctenomys fulvus,0.168672222,0,0,0,0.210028985,0.060940055
Ctenomys goodfellowi,0.558811858,1,0,21,0.471761016,0.071579488
Ctenomys haigi,0.219452378,0,0,0,0.229112117,0.079871177
Ctenomys johannis,0.174854979,0,0,0,0.211746824,0.061472506
Ctenomys juris,0.158512277,0,0,0,0.198781828,0.058754837
Ctenomys knighti,0.297165842,0,0,1,0.317781651,0.095379694
Ctenomys lami,0.161428647,0,0,0,0.184499734,0.06401814
Ctenomys latro,0.450912395,0,0,2,0.385006005,0.085349001
Ctenomys leucodon,0.432248984,0,0,5,0.395648143,0.095106568
Ctenomys lewisi,0.467049486,0,0,13,0.428397288,0.098085304
Ctenomys magellanicus,0.219011741,0,0,0,0.25061895,0.082065324
Ctenomys maulinus,0.280091529,0,0,0,0.299043398,0.092673569
Ctenomys mendocinus,0.182714158,0,0,0,0.232035622,0.062494245
Ctenomys minutus,0.687220161,1,0,44,0.589853999,0.077387937
Ctenomys occultus,0.431562578,0,0,5,0.400784628,0.090084155
Ctenomys opimus,0.209663092,0,0,1,0.270335813,0.090422968
Ctenomys osvaldoreigi,0.135331152,0,0,0,0.17827958,0.062350887
Ctenomys pearsoni,0.379360229,0,0,1,0.352083759,0.091677321
Ctenomys perrensi,0.408658798,0,0,8,0.412035754,0.096834375
Ctenomys peruanus,0.371647007,0,0,6,0.37809006,0.109567511
Ctenomys pilarensis,0.134579551,0,0,0,0.177838825,0.062373223
Ctenomys pontifex,0.269593241,0,0,1,0.300898307,0.096105178
Ctenomys porteousi,0.236776702,0,0,0,0.245674205,0.077208769
Ctenomys pundti,0.172883834,0,0,0,0.194040676,0.058936264
Ctenomys rionegrensis,0.305677736,0,0,0,0.332177679,0.085500614
Ctenomys roigi,0.185391765,0,0,0,0.206310639,0.066297193
Ctenomys saltarius,0.340844798,0,0,2,0.345300431,0.093198405
Ctenomys scagliai,0.130755502,0,0,0,0.179812097,0.061527932
Ctenomys sericeus,0.21784165,0,0,0,0.240785993,0.08360575
Ctenomys sociabilis,0.277985715,0,0,0,0.250171947,0.07662152
Ctenomys steinbachi,0.5589197,1,0,24,0.492463663,0.078155414
Ctenomys sylvanus,0.349430276,0,0,1,0.366132802,0.078852939
Ctenomys talarum,0.212858454,0,0,1,0.257873582,0.092893963
Ctenomys torquatus,0.367769832,0,0,4,0.374837969,0.095747994
Ctenomys tuconax,0.358874703,0,0,2,0.364753323,0.091783099
Ctenomys tucumanus,0.472948222,0,0,9,0.431333988,0.092031696
Ctenomys tulduco,0.219854509,0,0,0,0.230283006,0.062548113
Ctenomys validus,0.247421112,0,0,0,0.277051417,0.089856255
Ctenomys viperinus,0.130166519,0,0,0,0.179169417,0.062615863
Ctenomys yolandae,0.149794814,0,0,0,0.199613918,0.064042665
Cuniculus paca,0.606185762,1,0,50,0.673615704,0.081089509
Cuniculus taczanowskii,0.49283017,0,0,41,0.573567241,0.086865104
Cuon alpinus,0.734929941,1,0,45,0.62981912,0.106832409
Cuscomys ashaninka,0.109245861,0,0,0,0.161945127,0.063016835
Cuscomys oblativa,0.102122183,0,0,0,0.153115433,0.061420958
Cyclopes didactylus,0.547645289,1,0,35,0.542299574,0.098712939
Cynictis penicillata,0.195675208,0,0,0,0.268647099,0.090009782
Cynocephalus volans,0.925196714,1,1,50,0.855494021,0.061501514
Cynogale bennettii,0.913108681,1,1,50,0.854215704,0.061735544
Cynomops abrasus,0.515537815,1,0,25,0.496461729,0.091806427
Cynomops greenhalli,0.473798871,0,0,20,0.483938136,0.083858057
Cynomops mexicanus,0.358438729,0,0,16,0.456015133,0.091040343
Cynomops paranus,0.340427837,0,0,6,0.400514671,0.087956666
Cynomops planirostris,0.393712377,0,0,9,0.427958358,0.091437037
Cynomys gunnisoni,0.114291541,0,0,0,0.246274367,0.096082263
Cynomys leucurus,0.10217946,0,0,0,0.208124098,0.082475235
Cynomys ludovicianus,0.199696301,0,0,0,0.284914231,0.089830667
Cynomys mexicanus,0.269217276,0,0,1,0.353812824,0.105250692
Cynomys parvidens,0.104934268,0,0,0,0.216629692,0.091748811
Cynopterus brachyotis,0.871594164,1,1,50,0.773048588,0.087718292
Cynopterus horsfieldii,0.91241571,1,1,50,0.813836589,0.077145093
Cynopterus luzoniensis,0.709254328,1,0,48,0.654415803,0.091955599
Cynopterus minutus,0.849888326,1,1,50,0.768657963,0.080185397
Cynopterus nusatenggara,0.796968277,1,0,49,0.708361187,0.087259197
Cynopterus sphinx,0.550618916,1,0,32,0.571728991,0.110544675
Cynopterus titthaecheilus,0.87539248,1,1,50,0.773914959,0.081426708
Cystophora cristata,0.247127569,0,0,0,0.284932592,0.05662732
Cyttarops alecto,0.515123609,1,0,28,0.517586329,0.094461371
Dacnomys millardi,0.439576456,0,0,19,0.476966918,0.07264235
Dactylomys boliviensis,0.436451754,0,0,19,0.477760065,0.079854361
Dactylomys dactylinus,0.661389186,1,0,48,0.628859045,0.091609225
Dactylomys peruanus,0.313554433,0,0,0,0.339995982,0.086119075
Dactylopsila megalura,0.495284365,0,0,27,0.520100273,0.083180443
Dactylopsila palpator,0.636577698,1,0,49,0.640744849,0.090013379
Dactylopsila tatei,0.863121341,1,1,50,0.776162223,0.081633926
Dactylopsila trivirgata,0.635517177,1,0,48,0.622044194,0.083677858
Dama dama,0.694352565,1,0,47,0.646072188,0.080932028
Damaliscus korrigum,0.749492681,1,0,50,0.702946469,0.073310007
Damaliscus lunatus,0.524022714,1,0,25,0.499550977,0.078716352
Damaliscus pygargus,0.476442022,0,0,14,0.454028213,0.091344657
Damaliscus superstes,0.233307127,0,0,0,0.266002791,0.068630845
Dasycercus cristicauda,0.429970427,0,0,3,0.400808694,0.095544692
Dasykaluta rosamondae,0.353689175,0,0,5,0.380987955,0.0882244
Dasymys alleni,0.076433842,0,0,0,0.140967316,0.043919599
Dasymys cabrali,0.076399811,0,0,0,0.127212229,0.051007022
Dasymys foxi,0.60435713,1,0,45,0.600230484,0.087529235
Dasymys incomtus,0.070791447,0,0,0,0.146111243,0.046384428
Dasymys montanus,0.505912338,1,0,31,0.520968424,0.087944829
Dasymys nudipes,0.167261208,0,0,0,0.258509015,0.065843454
Dasymys rufulus,0.611976085,1,0,48,0.622859925,0.088040139
Dasymys rwandae,0.076399811,0,0,0,0.127212229,0.051007022
Dasymys sua,0.076399811,0,0,0,0.127212229,0.051007022
Dasyprocta azarae,0.49253372,0,0,41,0.543873606,0.07146012
Dasyprocta coibae,0.854307742,1,1,50,0.777054513,0.06421937
Dasyprocta cristata,0.160510171,0,0,0,0.235714879,0.069369708
Dasyprocta fuliginosa,0.795197587,1,0,50,0.745369892,0.072360724
Dasyprocta guamara,0.779513724,1,0,50,0.725993447,0.067194913
Dasyprocta kalinowskii,0.412273005,0,0,16,0.451978912,0.080588599
Dasyprocta leporina,0.855946941,1,1,50,0.790983311,0.061418498
Dasyprocta mexicana,0.805304963,1,0,50,0.772891533,0.069592751
Dasyprocta prymnolopha,0.778552807,1,0,50,0.73712616,0.066431698
Dasyprocta punctata,0.624111935,1,0,48,0.627789942,0.072815747
Dasyprocta ruatanica,0.792784879,1,0,50,0.752915759,0.063564396
Dasypus hybridus,0.237425837,0,0,0,0.297589635,0.078619035
Dasypus kappleri,0.603012,1,0,46,0.608809143,0.097296642
Dasypus novemcinctus,0.054285645,0,0,0,0.144802251,0.082434099
Dasypus pilosus,0.391762923,0,0,19,0.4436005,0.099861281
Dasypus sabanicola,0.458031977,0,0,22,0.482398722,0.098746052
Dasypus septemcinctus,0.293440863,0,0,5,0.370630603,0.091030042
Dasypus yepesi,0.151879027,0,0,0,0.207825174,0.067309741
Dasyuroides byrnei,0.116447143,0,0,0,0.174315094,0.060909813
Dasyurus albopunctatus,0.613349424,1,0,43,0.577393647,0.077784493
Dasyurus geoffroii,0.130238384,0,0,0,0.215986087,0.073905853
Dasyurus hallucatus,0.55641914,1,0,32,0.524054676,0.106617192
Dasyurus maculatus,0.314194186,0,0,8,0.397219047,0.107781701
Dasyurus spartacus,0.67642768,1,0,44,0.608884641,0.10239726
Dasyurus viverrinus,0.264853793,0,0,0,0.305424799,0.092559181
Daubentonia madagascariensis,0.872378006,1,1,50,0.839731274,0.049747619
Delanymys brooksi,0.216152584,0,0,1,0.332502835,0.088609405
Delomys collinus,0.061386253,0,0,0,0.144224101,0.056929013
Delomys dorsalis,0.262966336,0,0,0,0.327803108,0.085915297
Delomys sublineatus,0.336968075,0,0,2,0.375323507,0.082235967
Delphinapterus leucas,0.075536054,0,0,0,0.133509431,0.056184
Delphinus capensis,0.22574612,0,0,0,0.26153456,0.059721742
Delphinus delphis,0.242749301,0,0,0,0.283088165,0.059312552
Deltamys kempi,0.439050821,0,0,5,0.386489198,0.091566675
Dendrogale melanura,0.714228844,1,0,49,0.672493445,0.081311584
Dendrogale murina,0.814480915,1,0,50,0.748530999,0.085463158
Dendrohyrax arboreus,0.577961282,1,0,43,0.572349123,0.064558253
Dendrohyrax dorsalis,0.850818958,1,1,50,0.789566026,0.063386365
Dendrolagus bennettianus,0.717051999,1,0,50,0.664933932,0.077291562
Dendrolagus dorianus,0.779811575,1,0,50,0.731474519,0.081375797
Dendrolagus goodfellowi,0.786848792,1,0,50,0.75691332,0.079891321
Dendrolagus inustus,0.826349518,1,1,50,0.771061887,0.08236465
Dendrolagus lumholtzi,0.746063829,1,0,50,0.681454592,0.067292198
Dendrolagus matschiei,0.645029191,1,0,47,0.663148046,0.09609205
Dendrolagus mbaiso,0.735349976,1,0,49,0.669390886,0.077543305
Dendrolagus pulcherrimus,0.85667442,1,1,50,0.786945345,0.073305699
Dendrolagus scottae,0.872766907,1,1,50,0.803940618,0.075553615
Dendrolagus spadix,0.794734056,1,0,49,0.735291691,0.09862857
Dendrolagus stellarum,0.703470562,1,0,50,0.676669667,0.077608213
Dendrolagus ursinus,0.850251666,1,1,50,0.780366715,0.068555883
Dendromus insignis,0.282076803,0,0,6,0.408652693,0.087377564
Dendromus kahuziensis,0.291684622,0,0,13,0.422314614,0.091974016
Dendromus leucostomus,0.047715005,0,0,0,0.123650653,0.047436834
Dendromus lovati,0.247803588,0,0,2,0.379812974,0.087352295
Dendromus melanotis,0.11277209,0,0,0,0.240440272,0.071823125
Dendromus mesomelas,0.117091536,0,0,0,0.239720154,0.069001488
Dendromus messorius,0.305964426,0,0,9,0.441950244,0.095977067
Dendromus mystacalis,0.167564268,0,0,0,0.276612268,0.067199205
Dendromus nyasae,0.35798713,0,0,18,0.465313279,0.09612206
Dendromus nyikae,0.240741236,0,0,1,0.330972606,0.07612037
Dendromus oreas,0.357674376,0,0,12,0.436305431,0.086915708
Dendromus vernayi,0.235740845,0,0,1,0.322808298,0.081818089
Dendroprionomys rousseloti,0.624557376,1,0,43,0.585437864,0.08296465
Deomys ferrugineus,0.643965291,1,0,44,0.594012569,0.081627212
Dephomys defua,0.585713852,1,0,45,0.610787861,0.088560802
Dephomys eburneae,0.66680266,1,0,48,0.645400801,0.088100337
Desmana moschata,0.262023733,0,0,3,0.377362424,0.084539635
Desmodilliscus braueri,0.206374612,0,0,2,0.29915027,0.085794798
Desmodillus auricularis,0.067100719,0,0,0,0.135865586,0.058287054
Desmodus rotundus,0.160978155,0,0,1,0.222752939,0.092261303
Desmomys harringtoni,0.343090574,0,0,24,0.474898213,0.094625497
Desmomys yaldeni,0.104267344,0,0,0,0.159751982,0.060423008
Diaemus youngi,0.562754083,1,0,36,0.545326485,0.089880737
Dicerorhinus sumatrensis,0.925032502,1,1,50,0.864678452,0.056620149
Diceros bicornis,0.704499077,1,0,48,0.667713682,0.094275678
Diclidurus albus,0.456595652,0,0,19,0.477223168,0.097890077
Diclidurus ingens,0.53045071,1,0,32,0.524421373,0.092039451
Diclidurus isabellus,0.516097655,1,0,30,0.514234603,0.09141884
Diclidurus scutatus,0.543142636,1,0,31,0.531365663,0.092371872
Dicrostonyx groenlandicus,0.463288587,0,0,18,0.466326175,0.089548265
Dicrostonyx hudsonius,0.135256871,0,0,0,0.212720697,0.070883867
Dicrostonyx nelsoni,0.132336257,0,0,0,0.196591013,0.052804492
Dicrostonyx nunatakensis,0.192136438,0,0,0,0.250124242,0.058821734
Dicrostonyx richardsoni,0.169062481,0,0,0,0.236672556,0.060330708
Dicrostonyx torquatus,0.165896128,0,0,0,0.263466861,0.058951751
Dicrostonyx unalascensis,0.250435238,0,0,0,0.273700669,0.058306751
Dicrostonyx vinogradovi,0.209998506,0,0,0,0.25980358,0.056003136
Didelphis albiventris,0.069271325,0,0,0,0.207352714,0.080061022
Didelphis aurita,0.302045883,0,0,10,0.435076143,0.091576084
Didelphis imperfecta,0.278783813,0,0,7,0.401254272,0.090225306
Didelphis marsupialis,0.456260761,0,0,34,0.559297205,0.100099134
Didelphis pernigra,0.07394749,0,0,0,0.168767424,0.06092099
Didelphis virginiana,0.26561204,0,0,2,0.345687963,0.107500445
Dinaromys bogdanovi,0.162250388,0,0,0,0.257189435,0.073182512
Dinomys branickii,0.730181077,1,0,50,0.708979467,0.075146014
Diomys crumpi,0.660457426,1,0,46,0.639242899,0.089719693
Diphylla ecaudata,0.32039439,0,0,3,0.38145954,0.076776444
Diplogale hosei,0.846610459,1,1,50,0.793547159,0.063499218
Diplomesodon pulchellum,0.280973357,0,0,1,0.321860008,0.08017556
Diplomys caniceps,0.52299537,1,0,33,0.519609755,0.09042964
Diplomys labilis,0.665865351,1,0,48,0.690198402,0.094715592
Diplomys rufodorsalis,0.726515555,1,0,49,0.681619749,0.086911941
Diplothrix legata,0.663028934,1,0,42,0.573913292,0.076308712
Dipodillus bottai,0.594641807,1,0,39,0.578660628,0.082231523
Dipodillus campestris,0.39066112,0,0,5,0.406903475,0.081760806
Dipodillus dasyurus,0.431191378,0,0,17,0.459956308,0.08248491
Dipodillus harwoodi,0.385376374,0,0,9,0.439468019,0.071147289
Dipodillus jamesi,0.409910576,0,0,8,0.409765564,0.096463229
Dipodillus lowei,0.434435632,0,0,20,0.470539567,0.079096728
Dipodillus mackilligini,0.555218467,1,0,25,0.489000653,0.083113586
Dipodillus maghrebi,0.320230114,0,0,4,0.361012876,0.086094838
Dipodillus rupicola,0.085377845,0,0,0,0.132971635,0.050134953
Dipodillus simoni,0.442145464,0,0,9,0.420763633,0.085877813
Dipodillus somalicus,0.636441206,1,0,44,0.596210013,0.081448511
Dipodillus stigmonyx,0.591594382,1,0,40,0.565750285,0.083957782
Dipodillus zakariai,0.114679193,0,0,0,0.166581618,0.050148606
Dipodomys agilis,0.489529333,0,0,26,0.494809586,0.107108333
Dipodomys californicus,0.184103315,0,0,0,0.3093493,0.087399352
Dipodomys compactus,0.292460578,0,0,6,0.397968811,0.093625032
Dipodomys deserti,0.543994438,1,0,34,0.558426788,0.118005544
Dipodomys elator,0.175763551,0,0,0,0.266705846,0.071018679
Dipodomys gravipes,0.320782617,0,0,2,0.353884508,0.096229872
Dipodomys heermanni,0.288843713,0,0,6,0.398414346,0.099938573
Dipodomys ingens,0.25966797,0,0,4,0.351703066,0.111347429
Dipodomys merriami,0.444582237,0,0,29,0.518215107,0.111370591
Dipodomys microps,0.162031266,0,0,0,0.287618567,0.102988117
Dipodomys nelsoni,0.268969539,0,0,3,0.360216045,0.09734264
Dipodomys nitratoides,0.349436988,0,0,6,0.396078282,0.088836512
Dipodomys ordii,0.225570773,0,0,6,0.313510455,0.128044391
Dipodomys panamintinus,0.226609291,0,0,0,0.339577034,0.098008597
Dipodomys phillipsii,0.264122284,0,0,5,0.386668458,0.100446898
Dipodomys simulans,0.285360254,0,0,5,0.366370267,0.099465582
Dipodomys spectabilis,0.272631938,0,0,5,0.381363181,0.09831402
Dipodomys stephensi,0.40554153,0,0,15,0.443044831,0.101041159
Dipodomys venustus,0.365734575,0,0,3,0.378382844,0.083076787
Dipus sagitta,0.294641862,0,0,2,0.355030801,0.077933226
Distoechurus pennatus,0.638866786,1,0,48,0.624557874,0.100485932
Dobsonia anderseni,0.888796959,1,1,50,0.818787821,0.063171034
Dobsonia beauforti,0.807299162,1,0,49,0.711478244,0.075438395
Dobsonia chapmani,0.136135231,0,0,0,0.178350661,0.061732917
Dobsonia crenulata,0.776447121,1,0,50,0.704235291,0.087151072
Dobsonia emersa,0.7870509,1,0,49,0.694889484,0.086707634
Dobsonia exoleta,0.773580455,1,0,50,0.707341454,0.082090841
Dobsonia inermis,0.847289487,1,1,50,0.745075919,0.081043381
Dobsonia magna,0.804703976,1,0,50,0.731498628,0.068195399
Dobsonia minor,0.674452847,1,0,48,0.617333252,0.085776456
Dobsonia moluccensis,0.931799408,1,1,50,0.858818452,0.059047045
Dobsonia pannietensis,0.917197552,1,1,50,0.83841172,0.066223751
Dobsonia peronii,0.881938473,1,1,50,0.803824531,0.070040737
Dobsonia praedatrix,0.874311963,1,1,50,0.782521541,0.078984376
Dobsonia viridis,0.747146638,1,0,48,0.660617915,0.080089666
Dolichotis patagonum,0.298526764,0,0,2,0.351272339,0.105094345
Dolichotis salinicola,0.3307273,0,0,0,0.347513059,0.072761376
Dologale dybowskii,0.393029744,0,0,14,0.459171334,0.084997145
Dorcatragus megalotis,0.766417975,1,0,50,0.718739154,0.068366538
Dorcopsis atrata,0.909277258,1,1,50,0.821964698,0.067081341
Dorcopsis hageni,0.873996055,1,1,50,0.811814453,0.066102283
Dorcopsis luctuosa,0.838394561,1,1,50,0.772476078,0.075394263
Dorcopsis muelleri,0.664838999,1,0,50,0.640963758,0.078826746
Dorcopsulus macleayi,0.678164974,1,0,49,0.652199819,0.085052618
Dorcopsulus vanheurni,0.792866457,1,0,50,0.737272438,0.073336559
Dremomys everetti,0.568455762,1,0,47,0.629498072,0.079091731
Dremomys gularis,0.546989632,1,0,39,0.563313031,0.068407922
Dremomys lokriah,0.281839573,0,0,8,0.417962153,0.097582522
Dremomys pernyi,0.630913767,1,0,40,0.574196179,0.087063682
Dremomys pyrrhomerus,0.551920213,1,0,38,0.555184876,0.072219276
Dremomys rufigenis,0.58715377,1,0,47,0.631459522,0.083670102
Dromiciops gliroides,0.146812462,0,0,0,0.201976985,0.063469857
